year,index,metric,timeseries_original,order,timeseries,outlier
2022,0.16256096,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
2023,0.050403226,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,
1997,0,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
1998,0,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
1999,0,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2000,0,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2001,0.179937022,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2002,0.144300144,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2003,0.140498771,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2004,0.110701107,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2005,0.252768416,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2006,0.229196051,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2007,0.164287915,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2008,0.099700897,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2009,0.249968754,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2010,0.142007633,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2011,0.38033938,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2012,0.351082504,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2013,0.083003448,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2014,0.438040954,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2015,0.518881522,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2016,0.088116818,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2017,0.096370061,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2018,0.134206995,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2019,0.084935526,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2020,0.208333333,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2021,0.057471264,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2022,0.082186152,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2023,0.220230863,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
2024,0.207039337,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,
