port_geo_id2,city,state,Engagement,Reliance,year,Engagement_Rank,Reliance_Rank,PACFIN_YEAR,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,REGION,top_5_e,top_5_r
625058,FORT BRAGG,CA,0.069326434,0.144239351,2021,Medium,Medium,2021,39.4397296,-123.8015298,NCA,Top 5 Engagement Community,Top 5 Reliance Community
638702,KLAMATH,CA,0.573096843,-0.298565435,2022,Medium High,Low,2022,41.5322013,-124.0064272,NCA,Top 5 Engagement Community,NA
625058,FORT BRAGG,CA,0.124980756,0.233525174,2022,Medium,Medium,2022,39.4397296,-123.8015298,NCA,Top 5 Engagement Community,Top 5 Reliance Community
680448,TRINIDAD,CA,0.121336871,0.250486178,2022,Medium,Medium,2022,41.057563,-124.1432761,NCA,Top 5 Engagement Community,Top 5 Reliance Community
623042,EUREKA,CA,0.098899157,-0.190936187,2022,Medium,Low,2022,40.7941276,-124.15685619999999,NCA,Top 5 Engagement Community,NA
660900,RIO DELL,CA,0.078404646,-0.301934519,2022,Medium,Low,2022,40.5023624,-124.1105213,NCA,Top 5 Engagement Community,NA
4123850,EUGENE,OR,1.841073375,-0.256146602,2019,High,Low,2019,44.0564306,-123.1173591,OR,Top 5 Engagement Community,NA
4169600,SPRINGFIELD,OR,1.83858038,-0.170567604,2019,High,Low,2019,44.0537574,-122.9811281,OR,Top 5 Engagement Community,NA
4108650,BROOKINGS,OR,1.332103435,0.715216461,2019,High,Medium High,2019,42.0676039,-124.3031135,OR,Top 5 Engagement Community,NA
4115250,COOS BAY,OR,1.29336858,0.126499822,2019,High,Medium,2019,43.3789233,-124.2329891,OR,Top 5 Engagement Community,NA
4163650,ROSEBURG,OR,1.190800456,-0.045443885,2019,High,Low,2019,43.2231661,-123.3518922,OR,Top 5 Engagement Community,NA
4123850,EUGENE,OR,1.866479207,-0.244296594,2020,High,Low,2020,44.0564306,-123.1173591,OR,Top 5 Engagement Community,NA
4169600,SPRINGFIELD,OR,1.553785538,-0.157936812,2020,High,Low,2020,44.0537574,-122.9811281,OR,Top 5 Engagement Community,NA
4108650,BROOKINGS,OR,1.551401387,0.681027649,2020,High,Medium High,2020,42.0676039,-124.3031135,OR,Top 5 Engagement Community,NA
4115250,COOS BAY,OR,1.47512532,0.003108809,2020,High,Medium,2020,43.3789233,-124.2329891,OR,Top 5 Engagement Community,NA
4129900,GOLD BEACH,OR,1.281334683,1.908919522,2020,High,High,2020,42.3773299,-124.4140685,OR,Top 5 Engagement Community,NA
4123850,EUGENE,OR,1.586052498,-0.251176422,2021,High,Low,2021,44.0564306,-123.1173591,OR,Top 5 Engagement Community,NA
4108650,BROOKINGS,OR,1.499890688,0.665681136,2021,High,Medium High,2021,42.0676039,-124.3031135,OR,Top 5 Engagement Community,NA
4169600,SPRINGFIELD,OR,1.304450011,-0.168879012,2021,High,Low,2021,44.0537574,-122.9811281,OR,Top 5 Engagement Community,NA
4115250,COOS BAY,OR,1.235664076,-0.027425862,2021,High,Low,2021,43.3789233,-124.2329891,OR,Top 5 Engagement Community,NA
4129900,GOLD BEACH,OR,1.198324355,1.656198824,2021,High,High,2021,42.3773299,-124.4140685,OR,Top 5 Engagement Community,NA
4123850,EUGENE,OR,1.581032543,-0.253651401,2022,High,Low,2022,44.0564306,-123.1173591,OR,Top 5 Engagement Community,NA
4108650,BROOKINGS,OR,1.538100317,0.945025336,2022,High,Medium High,2022,42.0676039,-124.3031135,OR,Top 5 Engagement Community,NA
4169600,SPRINGFIELD,OR,1.301001474,-0.142782064,2022,High,Low,2022,44.0537574,-122.9811281,OR,Top 5 Engagement Community,NA
4129900,GOLD BEACH,OR,1.237574738,2.325478582,2022,High,High,2022,42.3773299,-124.4140685,OR,Top 5 Engagement Community,NA
4152450,NEWPORT,OR,0.946280132,0.306199433,2022,Medium High,Medium,2022,44.6247052,-124.0523628,OR,Top 5 Engagement Community,NA
666000,SAN DIEGO,CA,12.67798885,-0.261035382,2019,High,Low,2019,32.8168157,-117.133405,SCA,Top 5 Engagement Community,NA
644000,LOS ANGELES,CA,6.995261506,-0.296660461,2019,High,Low,2019,34.1564893,-118.5399543,SCA,Top 5 Engagement Community,NA
636000,HUNTINGTON BEACH,CA,4.058480965,-0.205105512,2019,High,Low,2019,33.6946839,-118.0024744,SCA,Top 5 Engagement Community,NA
645806,MARINA DEL REY,CA,3.589125952,2.740859112,2019,High,High,2019,33.9764927,-118.4485979,SCA,Top 5 Engagement Community,Top 5 Reliance Community
651182,NEWPORT BEACH,CA,2.371870351,-0.090133735,2019,High,Low,2019,33.5966557,-117.8933081,SCA,Top 5 Engagement Community,Top 5 Reliance Community
666000,SAN DIEGO,CA,12.64723635,-0.250122867,2020,High,Low,2020,32.8168157,-117.133405,SCA,Top 5 Engagement Community,NA
644000,LOS ANGELES,CA,7.798786175,-0.280449997,2020,High,Low,2020,34.1564893,-118.5399543,SCA,Top 5 Engagement Community,NA
636000,HUNTINGTON BEACH,CA,3.905332873,-0.221675848,2020,High,Low,2020,33.6946839,-118.0024744,SCA,Top 5 Engagement Community,NA
645806,MARINA DEL REY,CA,2.866636493,2.501069597,2020,High,High,2020,33.9764927,-118.4485979,SCA,Top 5 Engagement Community,Top 5 Reliance Community
651182,NEWPORT BEACH,CA,2.812481546,-0.03956081,2020,High,Low,2020,33.5966557,-117.8933081,SCA,Top 5 Engagement Community,Top 5 Reliance Community
666000,SAN DIEGO,CA,12.58673393,-0.245380051,2021,High,Low,2021,32.8168157,-117.133405,SCA,Top 5 Engagement Community,NA
644000,LOS ANGELES,CA,8.03438068,-0.279260366,2021,High,Low,2021,34.1564893,-118.5399543,SCA,Top 5 Engagement Community,NA
636000,HUNTINGTON BEACH,CA,4.256808004,-0.214879666,2021,High,Low,2021,33.6946839,-118.0024744,SCA,Top 5 Engagement Community,NA
645806,MARINA DEL REY,CA,2.995937548,3.484737954,2021,High,High,2021,33.9764927,-118.4485979,SCA,Top 5 Engagement Community,Top 5 Reliance Community
651182,NEWPORT BEACH,CA,2.689868779,-0.003904473,2021,High,Low,2021,33.5966557,-117.8933081,SCA,Top 5 Engagement Community,Top 5 Reliance Community
666000,SAN DIEGO,CA,12.6361204,-0.252373624,2022,High,Low,2022,32.8168157,-117.133405,SCA,Top 5 Engagement Community,NA
644000,LOS ANGELES,CA,8.266264355,-0.290733489,2022,High,Low,2022,34.1564893,-118.5399543,SCA,Top 5 Engagement Community,NA
636000,HUNTINGTON BEACH,CA,4.494658077,-0.222953733,2022,High,Low,2022,33.6946839,-118.0024744,SCA,Top 5 Engagement Community,NA
651182,NEWPORT BEACH,CA,3.105345027,0.008191585,2022,High,Medium,2022,33.5966557,-117.8933081,SCA,Top 5 Engagement Community,Top 5 Reliance Community
645806,MARINA DEL REY,CA,3.093749605,2.983981955,2022,High,High,2022,33.9764927,-118.4485979,SCA,Top 5 Engagement Community,Top 5 Reliance Community
5363000,SEATTLE,WA,6.91784795,-0.250896861,2019,High,Low,2019,47.6200014,-122.3512336,WA,Top 5 Engagement Community,NA
5326735,GIG HARBOR,WA,2.081616945,1.290540804,2019,High,High,2019,47.3351812,-122.5963826,WA,Top 5 Engagement Community,NA
