year,index,sd,SE,metric,species,data.type,data.type2,SElo,SEup,Notes,SE_type,timeseries
1972,958.4886,288.1821,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1973,904.7823,280.7946,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1974,505.091,173.4704,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1975,632.4314,174.7608,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1976,782.9263,235.7535,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1977,949.3982,284.9351,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1978,1010.475,273.1507,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1979,1009.5503,275.9286,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1980,824.3738,250.9472,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1981,1031.9901,269.7186,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1982,1305.5718,308.0022,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1983,874.9064,325.2302,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1984,903.1298,245.3986,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1985,849.2683,236.5197,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1986,1055.759,256.0661,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1987,1035.1919,264.2896,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1988,1021.289,301.3954,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1989,1131.8804,287.7804,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1990,963.7727,283.6471,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1991,1072.3552,274.8069,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1992,904.6476,244.6402,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1993,1031.6584,219.4749,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1994,563.4596,150.8078,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1995,1138.5339,286.8456,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1996,805.7914,324.365,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1997,935.7153,177.9712,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1998,598.5051,146.7529,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
1999,895.5486,158.3724,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2000,784.3424,158.6506,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2001,869.2313,175.6926,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2002,831.4222,156.9186,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2003,790.6506,151.383,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2004,923.6173,169.3114,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2005,775.2594,147.0518,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2006,1073.8006,184.3741,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2007,852.059,153.299,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2008,724.9441,143.6172,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2009,1093.5327,192.3167,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2010,1044.5307,173.3868,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2011,870.947,199.3712,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2012,750.9165,186.7648,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
2013,944.5404,144.4018,,Recruits (x1000),Blue marlin,recruitment,,,,,SD,Blue marlin:Recruits (x1000)
