"year","region","mtons","mean_bio","stdev","n","sterr","q50_bio","q25_bio","q75_bio","species"
2012,"OR",48607.2257107243,2676.6093453042,2912.31586989956,18160,21.6112832105869,1818.90863914183,103.269051329052,4395.84218335783,"sablefish"
2012,"WA",19576.5085958392,1740.13409740793,2142.29073010157,11250,20.197710700372,682.299357021608,60.7268925757618,3116.53344286852,"sablefish"
2013,"CA",154369.94501,3307.83288356047,3960.10604654485,46668,18.3314669993807,1557.44765561945,134.864298347931,5501.4013513021,"sablefish"
2013,"OR",44659.3996386732,2459.21804177716,2751.14357339125,18160,20.4152796515149,1633.1171922994,126.603210294711,3956.57341837172,"sablefish"
2013,"WA",18633.3220116641,1656.2952899257,2101.33734496333,11250,19.8115984824547,598.931277987937,54.9706046323848,2908.60487838554,"sablefish"
2014,"CA",136406.542471276,2922.91382684658,3778.1573346469,46668,17.4892201583783,1474.38567315803,136.712963117786,4519.92348903914,"sablefish"
2014,"OR",46033.545210278,2534.88685078623,2727.20814650604,18160,20.2376631729836,1809.40998031958,193.750097190547,4071.75870635652,"sablefish"
2014,"WA",18606.6202752496,1653.92180224441,2084.16031335718,11250,19.6496518753966,649.86461623786,90.0228737406921,2820.18085090623,"sablefish"
2015,"CA",129810.83102348,2781.58119104054,3541.2804921376,46668,16.392709112881,1242.11253770319,87.6156096378331,4395.70114711019,"sablefish"
2015,"OR",64150.4535381377,3532.51396135119,3904.7171625295,18160,28.9755480608546,2568.01588715393,213.910264266488,5656.55034841609,"sablefish"
2015,"WA",17850.248335034,1586.68874089191,2080.98100642977,11250,19.6196770822253,539.760849817682,55.4890317768171,2671.04803937365,"sablefish"
2016,"CA",130135.965675114,2788.54816309063,3494.08436214984,46668,16.1742366050239,1361.1673344582,77.7583001427899,4563.95754795052,"sablefish"
2016,"OR",62605.5747578435,3447.44354393411,3663.33022064507,18160,27.1842995159013,2449.21107163434,203.35975646265,5668.78058568195,"sablefish"
2016,"WA",21234.1123427353,1887.47665268758,2451.06489529,11250,23.108861447838,643.120185780085,98.5778818597406,3189.30399606451,"sablefish"
2017,"CA",152181.098404483,3260.93036779985,4475.99129880797,46668,20.7195175632235,1272.91257351255,77.0681605100052,4805.17379276319,"sablefish"
2017,"OR",69101.339445103,3805.13983728541,3800.5034778951,18160,28.2022145511449,3047.64518842219,368.176800514984,6099.01144270126,"sablefish"
