year,index,metric,timeseries_original,order,timeseries,outlier
1997,0.622203579,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
1998,0.119937914,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
1999,0.276928402,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2000,1.020002273,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2001,0.369928401,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2002,0.323913108,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2003,3.662984018,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2004,0.373626374,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2005,0.742929506,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2006,0.175685172,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2007,1.099218976,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2008,0.216340036,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2009,0.772000789,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2010,3.494968429,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2011,0.458760852,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2012,0.73253749,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2013,3.015888117,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2014,0.283428227,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2015,0.521726168,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2016,0.101986701,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2017,0.459205468,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2018,0.376972943,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2019,1.718573165,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2020,0.293829579,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2021,1.331864286,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2022,0.64243184,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
2023,0.0390625,Encounter rate,Northern fulmar (Oct - Feb) North,4,Northern fulmar encounter rate (Ce/So CC) North,
1997,0.245685523,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
1998,0.282435486,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
1999,0.062507103,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2000,0.160828266,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2001,0.283412888,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2002,0.231593688,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2003,0.235120557,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2004,0.303893637,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2005,1.57652195,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2006,0.410002253,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2007,2.174060892,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2008,0.774562709,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2009,3.075362569,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,outlier
2010,0.267610497,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2011,0.949585635,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2012,0.332354972,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2013,0.148113167,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2014,0.682720953,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2015,1.145028987,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2016,0.788495139,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2017,0.28643367,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2018,0.248612541,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2019,0.428766835,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2020,0.690993789,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2021,0.234562834,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2022,0.279577673,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2023,0.455362493,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
2024,0.276354813,Encounter rate,Brandts Cormorant(Apr - Nov) North,5,Brandts cormorant encounter rate (Ce/So CC) North,
