,year,timeseries,index,metric
277,2015,HMSP,1.213350654,Management Group
278,2015,CPEL,1.513228509,Management Group
279,2015,SRMP,0.874532913,Management Group
280,2015,CRAB,0.919240826,Management Group
281,2016,AFSH,0.310991888,Management Group
282,2016,GRND,0.567416658,Management Group
283,2016,SAMN,0.924955141,Management Group
284,2016,OTHR,0.818643292,Management Group
285,2016,HMSP,1.243746086,Management Group
286,2016,CPEL,1.371919971,Management Group
287,2016,SRMP,0.607548288,Management Group
288,2016,CRAB,0.504250552,Management Group
289,2017,AFSH,0.369419984,Management Group
290,2017,GRND,0.614790576,Management Group
291,2017,SAMN,1.10292784,Management Group
292,2017,OTHR,0.710329893,Management Group
293,2017,HMSP,1.24669003,Management Group
294,2017,CPEL,1.8806213,Management Group
295,2017,SRMP,0.465270806,Management Group
296,2017,CRAB,0.585698104,Management Group
297,2018,AFSH,0.233081428,Management Group
298,2018,GRND,0.654063531,Management Group
299,2018,SAMN,0.959018991,Management Group
300,2018,OTHR,0.655147257,Management Group
301,2018,HMSP,1.027163222,Management Group
302,2018,CPEL,1.497701196,Management Group
303,2018,SRMP,0.578407485,Management Group
304,2018,CRAB,0.473501054,Management Group
305,2019,AFSH,0.292998054,Management Group
306,2019,GRND,0.757450993,Management Group
307,2019,SAMN,0.549104831,Management Group
308,2019,OTHR,0.604632073,Management Group
309,2019,HMSP,1.118843362,Management Group
310,2019,CPEL,1.363863642,Management Group
311,2019,SRMP,0.572158625,Management Group
312,2019,CRAB,0.537907461,Management Group
313,2020,AFSH,0.312460903,Management Group
314,2020,GRND,0.783644627,Management Group
315,2020,SAMN,0.716269919,Management Group
316,2020,OTHR,0.712148251,Management Group
317,2020,HMSP,1.195829178,Management Group
318,2020,CPEL,1.313687957,Management Group
319,2020,SRMP,0.698113096,Management Group
320,2020,CRAB,0.609067611,Management Group
321,2021,AFSH,0.291267722,Management Group
322,2021,GRND,0.786243483,Management Group
323,2021,SAMN,0.582309537,Management Group
324,2021,OTHR,0.774146976,Management Group
325,2021,HMSP,1.017795395,Management Group
326,2021,CPEL,1.304077213,Management Group
327,2021,SRMP,0.750968836,Management Group
328,2021,CRAB,0.606478511,Management Group
329,2022,AFSH,0.441884385,Management Group
330,2022,GRND,0.769798667,Management Group
331,2022,SAMN,0.717906559,Management Group
332,2022,OTHR,0.782237669,Management Group
333,2022,HMSP,1.150747924,Management Group
334,2022,CPEL,1.997630237,Management Group
335,2022,SRMP,0.788380794,Management Group
336,2022,CRAB,0.868171946,Management Group
337,2023,AFSH,0.294204501,Management Group
338,2023,GRND,0.794386152,Management Group
339,2023,SAMN,1.295870354,Management Group
340,2023,OTHR,0.803872248,Management Group
341,2023,HMSP,1.048045567,Management Group
342,2023,CPEL,2.066970473,Management Group
343,2023,SRMP,0.627748718,Management Group
344,2023,CRAB,0.576101,Management Group
