time,index,nobs,timeseries,stdev,SEup,SElo
1986-11-01T00:00:00Z, 26.062,120,33N, 49.118, 75.180, -23.056
1986-12-01T00:00:00Z,  8.197,124,33N, 29.235, 37.432, -21.038
1987-01-01T00:00:00Z, 31.996,124,33N, 52.807, 84.803, -20.811
1987-02-01T00:00:00Z, 38.421,112,33N, 83.345,121.766, -44.924
1987-03-01T00:00:00Z, 58.424,124,33N, 73.295,131.719, -14.871
1987-04-01T00:00:00Z, 75.694,120,33N, 60.740,136.434,  14.954
1987-05-01T00:00:00Z,101.862,124,33N, 61.750,163.612,  40.112
1987-06-01T00:00:00Z,106.055,120,33N, 65.705,171.760,  40.350
1987-07-01T00:00:00Z,114.806,124,33N, 60.071,174.877,  54.735
1987-08-01T00:00:00Z, 75.308,124,33N, 37.321,112.629,  37.987
1987-09-01T00:00:00Z, 75.387,120,33N, 47.657,123.044,  27.730
1987-10-01T00:00:00Z, 20.394,122,33N, 32.797, 53.191, -12.403
1987-11-01T00:00:00Z, 31.497,120,33N, 42.609, 74.106, -11.112
1987-12-01T00:00:00Z,  8.934,124,33N,147.763,156.697,-138.829
1988-01-01T00:00:00Z, 51.436,124,33N,209.561,260.997,-158.125
1988-02-01T00:00:00Z, 23.939,95,33N, 30.922, 54.861,  -6.983
1988-03-01T00:00:00Z, 80.801,124,33N, 69.031,149.832,  11.770
1988-04-01T00:00:00Z, 55.546,120,33N, 53.643,109.189,   1.903
1988-05-01T00:00:00Z,136.996,124,33N,101.077,238.073,  35.919
1988-06-01T00:00:00Z,116.771,120,33N, 68.524,185.295,  48.247
1988-07-01T00:00:00Z, 84.403,124,33N, 42.972,127.375,  41.431
1988-08-01T00:00:00Z, 76.478,124,33N, 40.015,116.493,  36.463
1988-09-01T00:00:00Z, 59.999,120,33N, 40.862,100.861,  19.137
1988-10-01T00:00:00Z, 47.518,124,33N, 36.260, 83.778,  11.258
1988-11-01T00:00:00Z, 49.037,120,33N, 47.239, 96.276,   1.798
1988-12-01T00:00:00Z, 30.038,124,33N, 42.430, 72.468, -12.392
1989-01-01T00:00:00Z, 37.285,124,33N, 55.979, 93.264, -18.694
1989-02-01T00:00:00Z, 26.499,112,33N,105.008,131.507, -78.509
1989-03-01T00:00:00Z, 77.065,124,33N, 73.617,150.682,   3.448
1989-04-01T00:00:00Z, 72.486,120,33N, 55.380,127.866,  17.106
1989-05-01T00:00:00Z,140.436,124,33N, 71.689,212.125,  68.747
1989-06-01T00:00:00Z,115.801,120,33N, 59.113,174.914,  56.688
1989-07-01T00:00:00Z,115.172,124,33N, 51.455,166.627,  63.717
1989-08-01T00:00:00Z, 86.802,124,33N, 46.162,132.964,  40.640
1989-09-01T00:00:00Z, 57.708,120,33N, 45.437,103.145,  12.271
1989-10-01T00:00:00Z, 45.556,124,33N, 53.991, 99.547,  -8.435
1989-11-01T00:00:00Z, 20.187,120,33N, 39.074, 59.261, -18.887
1989-12-01T00:00:00Z, 19.242,124,33N, 42.528, 61.770, -23.286
1990-01-01T00:00:00Z, 36.585,124,33N, 70.462,107.047, -33.877
1990-02-01T00:00:00Z, 75.998,112,33N,100.540,176.538, -24.542
1990-03-01T00:00:00Z, 98.786,124,33N, 61.377,160.163,  37.409
1990-04-01T00:00:00Z,119.050,120,33N,107.528,226.578,  11.522
1990-05-01T00:00:00Z,134.224,124,33N, 67.956,202.180,  66.268
1990-06-01T00:00:00Z,118.996,120,33N, 78.884,197.880,  40.112
1990-07-01T00:00:00Z, 65.012,124,33N, 39.005,104.017,  26.007
1990-08-01T00:00:00Z, 65.926,124,33N, 41.255,107.181,  24.671
1990-09-01T00:00:00Z, 55.700,120,33N, 35.137, 90.837,  20.563
1990-10-01T00:00:00Z, 26.468,124,33N, 32.191, 58.659,  -5.723
1990-11-01T00:00:00Z, 35.817,120,33N, 67.909,103.726, -32.092
1990-12-01T00:00:00Z, 17.193,124,33N, 58.759, 75.952, -41.566
1991-01-01T00:00:00Z, 11.140,124,33N, 35.754, 46.894, -24.614
1991-02-01T00:00:00Z, 28.403,112,33N, 78.629,107.032, -50.226
1991-03-01T00:00:00Z, 62.893,124,33N, 90.860,153.753, -27.967
1991-04-01T00:00:00Z,122.945,120,33N,100.815,223.760,  22.130
1991-05-01T00:00:00Z,167.468,124,33N,117.272,284.740,  50.196
1991-06-01T00:00:00Z, 98.622,120,33N, 55.848,154.470,  42.774
1991-07-01T00:00:00Z, 91.940,124,33N, 59.067,151.007,  32.873
1991-08-01T00:00:00Z, 73.755,124,33N, 46.128,119.883,  27.627
1991-09-01T00:00:00Z, 70.952,120,33N, 51.578,122.530,  19.374
1991-10-01T00:00:00Z, 58.282,124,33N, 72.511,130.793, -14.229
1991-11-01T00:00:00Z, 64.691,120,33N,126.265,190.956, -61.574
1991-12-01T00:00:00Z, 10.460,124,33N,102.269,112.729, -91.809
1992-01-01T00:00:00Z, 17.904,124,33N, 82.829,100.733, -64.925
1992-02-01T00:00:00Z, -6.077,116,33N, 78.717, 72.640, -84.794
1992-03-01T00:00:00Z, 29.603,124,33N, 61.855, 91.458, -32.252
1992-04-01T00:00:00Z, 92.277,120,33N, 70.902,163.179,  21.375
1992-05-01T00:00:00Z, 85.282,124,33N, 63.765,149.047,  21.517
1992-06-01T00:00:00Z,106.973,120,33N, 77.265,184.238,  29.708
1992-07-01T00:00:00Z, 82.908,124,33N, 56.721,139.629,  26.187
1992-08-01T00:00:00Z, 90.563,124,33N, 37.810,128.373,  52.753
1992-09-01T00:00:00Z, 75.318,120,33N, 47.128,122.446,  28.190
1992-10-01T00:00:00Z, 43.862,124,33N, 29.074, 72.936,  14.788
1992-11-01T00:00:00Z, 44.910,120,33N, 69.121,114.031, -24.211
1992-12-01T00:00:00Z, 27.615,124,33N, 63.677, 91.292, -36.062
1993-01-01T00:00:00Z, -4.288,124,33N, 98.278, 93.990,-102.566
1993-02-01T00:00:00Z, 10.942,112,33N, 84.793, 95.735, -73.851
1993-03-01T00:00:00Z, 59.673,124,33N, 51.694,111.367,   7.979
1993-04-01T00:00:00Z,145.064,120,33N, 79.550,224.614,  65.514
1993-05-01T00:00:00Z, 82.031,124,33N, 77.537,159.568,   4.494
1993-06-01T00:00:00Z,101.710,120,33N, 70.447,172.157,  31.263
1993-07-01T00:00:00Z, 93.215,124,33N, 45.719,138.934,  47.496
1993-08-01T00:00:00Z, 71.826,124,33N, 36.885,108.711,  34.941
1993-09-01T00:00:00Z, 64.674,120,33N, 39.051,103.725,  25.623
1993-10-01T00:00:00Z, 33.609,124,33N, 44.647, 78.256, -11.038
1993-11-01T00:00:00Z, 20.285,120,33N, 56.366, 76.651, -36.081
1993-12-01T00:00:00Z, 20.761,124,33N, 55.865, 76.626, -35.104
1994-01-01T00:00:00Z, 31.377,123,33N, 57.829, 89.206, -26.452
1994-02-01T00:00:00Z, 27.953,112,33N, 79.537,107.490, -51.584
1994-03-01T00:00:00Z, 58.791,124,33N, 93.568,152.359, -34.777
1994-04-01T00:00:00Z,121.367,120,33N, 74.261,195.628,  47.106
1994-05-01T00:00:00Z, 94.125,124,33N, 53.270,147.395,  40.855
1994-06-01T00:00:00Z,134.492,120,33N, 64.938,199.430,  69.554
1994-07-01T00:00:00Z,115.005,124,33N, 49.569,164.574,  65.436
1994-08-01T00:00:00Z, 97.502,124,33N, 48.466,145.968,  49.036
1994-09-01T00:00:00Z, 69.136,119,33N, 45.790,114.926,  23.346
1994-10-01T00:00:00Z, 74.334,124,33N, 97.441,171.775, -23.107
1994-11-01T00:00:00Z, 60.516,120,33N, 96.341,156.857, -35.825
1994-12-01T00:00:00Z, 35.733,124,33N, 59.321, 95.054, -23.588
1995-01-01T00:00:00Z,-19.549,124,33N,112.809, 93.260,-132.358
1995-02-01T00:00:00Z, 22.525,112,33N, 33.370, 55.895, -10.845
1995-03-01T00:00:00Z, 34.809,124,33N, 64.698, 99.507, -29.889
1995-04-01T00:00:00Z,118.146,120,33N,112.526,230.672,   5.620
1995-05-01T00:00:00Z, 92.012,124,33N, 72.477,164.489,  19.535
1995-06-01T00:00:00Z,111.233,120,33N, 88.409,199.642,  22.824
1995-07-01T00:00:00Z, 87.556,124,33N, 61.657,149.213,  25.899
1995-08-01T00:00:00Z, 96.726,124,33N, 45.320,142.046,  51.406
1995-09-01T00:00:00Z, 89.300,120,33N, 55.357,144.657,  33.943
1995-10-01T00:00:00Z, 45.109,124,33N, 40.808, 85.917,   4.301
1995-11-01T00:00:00Z, 39.066,120,33N, 48.820, 87.886,  -9.754
1995-12-01T00:00:00Z, 45.376,124,33N, 86.044,131.420, -40.668
1996-01-01T00:00:00Z, 55.033,124,33N, 77.575,132.608, -22.542
1996-02-01T00:00:00Z, 26.267,116,33N, 46.430, 72.697, -20.163
1996-03-01T00:00:00Z, 62.016,124,33N, 68.036,130.052,  -6.020
1996-04-01T00:00:00Z,104.872,120,33N, 96.860,201.732,   8.012
1996-05-01T00:00:00Z,121.283,124,33N, 82.055,203.338,  39.228
1996-06-01T00:00:00Z,119.352,120,33N, 60.734,180.086,  58.618
1996-07-01T00:00:00Z, 87.431,124,33N, 36.947,124.378,  50.484
1996-08-01T00:00:00Z, 87.694,124,33N, 40.819,128.513,  46.875
1996-09-01T00:00:00Z, 67.588,120,33N, 31.449, 99.037,  36.139
1996-10-01T00:00:00Z, 91.709,124,33N,110.059,201.768, -18.350
