year,index,metric,order,timeseries
2013,0.380,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2014,0.147,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2015,0.124,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2016,0.146,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2017,0.144,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2018,0.058,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2019,-0.655,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2020,0.363,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2021,0.084,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2022,0.027,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2023,0.071,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
2024,0.022,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1972,0.062,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1973,0.078,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1974,0.189,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1975,0.191,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1976,0.051,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1977,0.106,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1978,-0.055,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1979,0.130,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1980,0.182,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1981,0.176,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1982,0.186,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1983,-0.666,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1984,0.019,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1985,0.076,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1986,0.091,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1987,0.137,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1988,0.195,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1989,0.151,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1990,0.125,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1991,0.175,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1992,-0.626,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1993,0.072,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1994,0.098,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1995,0.075,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1996,-0.040,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1997,0.093,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1998,-0.304,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1999,0.132,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2000,0.081,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2001,0.104,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2002,0.095,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2003,-0.026,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2004,0.118,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2005,-0.224,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2006,-0.164,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2007,0.097,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2008,0.073,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2009,-0.637,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2010,0.059,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2011,-0.125,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2012,-0.013,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2013,0.124,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2014,-0.002,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2015,-0.139,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2016,-0.123,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2017,0.006,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2018,0.052,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2019,-0.378,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2020,-0.066,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2021,0.029,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2022,-0.020,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2023,-0.021,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
2024,-0.010,Productivity anomaly,3,Common murre productivity anomaly (Ce CC - SEFI)
1971,0.191,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1972,0.110,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1973,-0.165,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1974,0.283,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
