"year","biomass","lwr95","upr95","log_est","se","timeseries","metric","metric2","max","index","index_upr95","index_lwr95"
2018,12504.1048107251,6068.60527659819,25764.1797400349,9.4338122542419,0.368847680623444,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.230074897344627,0.474059606711925,0.111662030762954
2019,10615.5967750491,4651.79177775264,24225.2663649694,9.27007959253343,0.420962755505264,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.195326444814864,0.445743678290822,0.0855927339010327
2021,9619.10272506366,4664.09742965575,19838.1656109951,9.17150626748676,0.369321403691063,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.176991004595402,0.365021245866438,0.0858191572748945
2022,9988.00399754455,4588.78806762052,21739.9937379753,9.20914005163432,0.396828118850227,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.183778769387932,0.400014787403836,0.0844334688148552
2023,9285.19827550849,4031.28670995645,21386.4488483473,9.13617682794852,0.425689424745172,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.170847179578163,0.393509579280652,0.0741754719749668
2024,12923.9985910535,6294.14450329129,26537.3220291035,9.46684121792655,0.367081327690113,"English sole","Biomass index","Total biomass (kg)",54347.9751812965,0.237800921707589,0.488285385804698,0.115811941149509
2003,87557615.6762732,72507351.8148745,105731844.716762,18.2878075995067,0.096230890958944,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.781595890538871,0.94383081004922,0.647247504110818
2004,77946959.993556,63827107.982995,95190409.9094656,18.1715391532663,0.10196646813529,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.695804963856164,0.849731147077253,0.569762035194481
2005,78395881.6849521,64039777.5890002,95970262.49224,18.1772819544122,0.103199335764426,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.6998123291374,0.856692615468263,0.57166046160562
2006,84472145.7872263,70065019.1997776,101841739.221575,18.2519324023315,0.0954089917937362,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.754052991305789,0.909105213134356,0.625445664024781
2007,92577997.4837979,76507481.4620692,112024150.505585,18.3435620632168,0.0972788142108513,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.826411064631839,1,0.68295524774593
2008,87220900.7591049,72238787.1965074,105310260.934135,18.2839545477631,0.096158332933078,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.778590155475059,0.940067480617804,0.644850122678734
2009,81586381.545453,67322270.7173209,98872744.2309467,18.2171729131808,0.0980483609774585,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.72829279380597,0.882602044154911,0.600962117663767
2010,84224348.2124062,69605341.3609616,101913742.438496,18.2489946085794,0.0972684927024874,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.751840989931963,0.90974796040444,0.621342282416963
2011,85320518.2372314,70651020.9215461,103035890.172816,18.2619255255906,0.0962580994738758,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.761626112335284,0.919764976639382,0.630676694290342
