time,index,timeseries,metric
1991-03-15T00:00:00Z,0.733,39N,"m^2 s^(-1)"
1991-03-15T00:00:00Z,0.046,45N,"m^2 s^(-1)"
1991-04-15T00:00:00Z,0.622,33N,"m^2 s^(-1)"
1991-04-15T00:00:00Z,1.205,39N,"m^2 s^(-1)"
1991-04-15T00:00:00Z,-0.01,45N,"m^2 s^(-1)"
1991-05-15T00:00:00Z,0.696,33N,"m^2 s^(-1)"
1991-05-15T00:00:00Z,1.911,39N,"m^2 s^(-1)"
1991-05-15T00:00:00Z,0.39,45N,"m^2 s^(-1)"
1991-06-15T00:00:00Z,0.263,33N,"m^2 s^(-1)"
1991-06-15T00:00:00Z,1.409,39N,"m^2 s^(-1)"
1991-06-15T00:00:00Z,0.603,45N,"m^2 s^(-1)"
1991-07-15T00:00:00Z,0.237,33N,"m^2 s^(-1)"
1991-07-15T00:00:00Z,0.979,39N,"m^2 s^(-1)"
1991-07-15T00:00:00Z,0.653,45N,"m^2 s^(-1)"
1991-08-15T00:00:00Z,0.224,33N,"m^2 s^(-1)"
1991-08-15T00:00:00Z,0.895,39N,"m^2 s^(-1)"
1991-08-15T00:00:00Z,0.16,45N,"m^2 s^(-1)"
1991-09-15T00:00:00Z,0.224,33N,"m^2 s^(-1)"
1991-09-15T00:00:00Z,0.755,39N,"m^2 s^(-1)"
1991-09-15T00:00:00Z,0.558,45N,"m^2 s^(-1)"
1991-10-15T00:00:00Z,0.421,33N,"m^2 s^(-1)"
1991-10-15T00:00:00Z,0.746,39N,"m^2 s^(-1)"
1991-10-15T00:00:00Z,0.381,45N,"m^2 s^(-1)"
1991-11-15T00:00:00Z,0.436,33N,"m^2 s^(-1)"
1991-11-15T00:00:00Z,0.987,39N,"m^2 s^(-1)"
1991-11-15T00:00:00Z,-0.199,45N,"m^2 s^(-1)"
1991-12-15T00:00:00Z,0.151,33N,"m^2 s^(-1)"
1991-12-15T00:00:00Z,0.047,39N,"m^2 s^(-1)"
1991-12-15T00:00:00Z,-0.098,45N,"m^2 s^(-1)"
1992-01-15T00:00:00Z,0.11,33N,"m^2 s^(-1)"
1992-01-15T00:00:00Z,0.064,39N,"m^2 s^(-1)"
1992-01-15T00:00:00Z,-0.719,45N,"m^2 s^(-1)"
1992-02-15T00:00:00Z,0.061,33N,"m^2 s^(-1)"
1992-02-15T00:00:00Z,-0.324,39N,"m^2 s^(-1)"
1992-02-15T00:00:00Z,-0.212,45N,"m^2 s^(-1)"
1992-03-15T00:00:00Z,0.205,33N,"m^2 s^(-1)"
1992-03-15T00:00:00Z,0.185,39N,"m^2 s^(-1)"
1992-03-15T00:00:00Z,0.311,45N,"m^2 s^(-1)"
1992-04-15T00:00:00Z,0.459,33N,"m^2 s^(-1)"
1992-04-15T00:00:00Z,0.752,39N,"m^2 s^(-1)"
1992-04-15T00:00:00Z,-0.075,45N,"m^2 s^(-1)"
1992-05-15T00:00:00Z,0.36,33N,"m^2 s^(-1)"
1992-05-15T00:00:00Z,1.269,39N,"m^2 s^(-1)"
1992-05-15T00:00:00Z,0.614,45N,"m^2 s^(-1)"
1992-06-15T00:00:00Z,0.537,33N,"m^2 s^(-1)"
1992-06-15T00:00:00Z,0.832,39N,"m^2 s^(-1)"
1992-06-15T00:00:00Z,0.445,45N,"m^2 s^(-1)"
1992-07-15T00:00:00Z,0.299,33N,"m^2 s^(-1)"
1992-07-15T00:00:00Z,0.932,39N,"m^2 s^(-1)"
1992-07-15T00:00:00Z,0.551,45N,"m^2 s^(-1)"
1992-08-15T00:00:00Z,0.432,33N,"m^2 s^(-1)"
1992-08-15T00:00:00Z,0.78,39N,"m^2 s^(-1)"
1992-08-15T00:00:00Z,0.425,45N,"m^2 s^(-1)"
