"year","index","SEup","SElo","timeseries_original","timeseries"
"2010",0.619426724384673,0.629489960592903,0.609363488176443,"Simpson diversity - South","South"
"2011",0.632309360739515,0.642906545010243,0.621712176468787,"Simpson diversity - South","South"
"2012",0.609709740659136,0.621704412755095,0.597715068563176,"Simpson diversity - South","South"
"2013",0.632795352087506,0.646391145611311,0.619199558563701,"Simpson diversity - South","South"
"2014",0.638677504247453,0.650272304180084,0.627082704314822,"Simpson diversity - South","South"
"2015",0.650676546163621,0.661200392700572,0.64015269962667,"Simpson diversity - South","South"
"2016",0.65435939487295,0.663806926141938,0.644911863603962,"Simpson diversity - South","South"
"2017",0.62617640686974,0.636835543513895,0.615517270225585,"Simpson diversity - South","South"
"2018",0.636798265626743,0.646156182870499,0.627440348382987,"Simpson diversity - South","South"
"2019",0.651741729561791,0.665332212992282,0.6381512461313,"Simpson diversity - South","South"
"2021",0.630710164458695,0.642049165818187,0.619371163099203,"Simpson diversity - South","South"
"2022",0.652355300392273,0.663245072931531,0.641465527853015,"Simpson diversity - South","South"
"2023",0.612100042016395,0.623346388815841,0.600853695216949,"Simpson diversity - South","South"
"2024",0.62143620508152,0.632223886263961,0.610648523899079,"Simpson diversity - South","South"
