Year,est,lwr,upr,log_est,se,spp
2024,145355220.058097,124801716.669422,169293664.878845,18.7946910980367,0.0777842501547246,petrale sole
2003,243331805.366144,211812673.476342,279541193.314669,19.3099365241017,0.0707786973922501,sablefish
2004,272133871.417404,233709353.142699,316875824.509283,19.4218046775109,0.0776625784952054,sablefish
2005,266536061.803592,231260740.791879,307192098.401609,19.4010201087519,0.0724318048320954,sablefish
2006,272963879.721669,237986189.744325,313082367.14388,19.4248500356838,0.0699639550000203,sablefish
2007,260378720.99057,226703163.531912,299056604.629789,19.3776477483336,0.0706623587675095,sablefish
2008,196847585.06634,170684205.959973,227021425.494616,19.0979403073912,0.0727639130944126,sablefish
2009,172686738.505537,149654117.891865,199264210.539312,18.9669897509706,0.0730383024367132,sablefish
2010,178063616.49647,155499446.16124,203902022.177783,18.9976514404532,0.0691332665338847,sablefish
2011,212481889.310056,185341429.54468,243596660.475132,19.1743673159205,0.0697242754521338,sablefish
2012,198772594.510884,173355707.545332,227916028.194552,19.1076719881109,0.0698052794115225,sablefish
2013,232460251.884377,199221612.541208,271244510.155597,19.2642298087393,0.078726658262193,sablefish
2014,213831634.307798,186321207.877852,245403989.977993,19.1806995077605,0.0702649857414347,sablefish
2015,225352461.943432,196106747.371778,258959636.955735,19.2331762320177,0.0709230040593961,sablefish
2016,227389055.614815,198999689.593762,259828458.62197,19.2421730097796,0.0680416517723158,sablefish
2017,261394225.963177,227756969.620458,299999343.514058,19.3815402700167,0.0702821967145677,sablefish
2018,267550200.371074,233825306.205678,306139275.00061,19.4048177716321,0.0687425548939435,sablefish
2019,262866122.481263,220767239.213503,312992990.239414,19.387155420542,0.0890505813816656,sablefish
2021,325329123.436719,286185878.573131,369826209.049157,19.6003479153695,0.0654072389215152,sablefish
2022,468104536.210399,406603638.711067,538907761.660394,19.9642021969099,0.07186498822696,sablefish
2023,433297491.228739,376749768.271205,498332664.586986,19.8869350967759,0.0713499418771695,sablefish
2024,410794979.555326,357897937.323073,471510164.294488,19.8336048148031,0.070331089473088207,sablefish
2003,22624765.7232473,10320318.2834745,49599247.8111337,16.9345556927231,0.400482121074894,shortbelly rockfish
2004,24286035.452688,12655865.6074914,46603806.9857581,17.0054120703942,0.332547294480565,shortbelly rockfish
2005,40635997.7018572,16997177.949033,97150498.4049001,17.5201648746392,0.444705615139832,shortbelly rockfish
2006,15631409.4120163,7712653.89574688,31680529.6216924,16.5647928718458,0.360424975333002,shortbelly rockfish
2007,11405104.1255103,6252974.03798363,20802325.3132964,16.2495715434713,0.306640220739185,shortbelly rockfish
2008,8979815.75625362,5184562.00781892,15553308.2437148,16.0104899229469,0.28025719050936,shortbelly rockfish
2009,7859436.38487148,4392155.11830223,14063879.4906039,15.877225455075,0.296890595818213,shortbelly rockfish
2010,16103129.8188686,9728988.75671525,26653416.5520904,16.5945242097492,0.257098444366087,shortbelly rockfish
2011,14508383.5037175,8143235.46073618,25848840.1699628,16.4902372129836,0.294668209102018,shortbelly rockfish
2012,18723938.9977296,9789260.97700364,35813315.4703174,16.7453134234246,0.330882049068572,shortbelly rockfish
2013,19278645.0872138,11702056.6597401,31760755.1566073,16.7745085691178,0.25471559980281,shortbelly rockfish
2014,18813651.3973021,11164865.6124598,31702439.7055171,16.7500933024438,0.266234940987387,shortbelly rockfish
2015,14861476.8549551,7112147.6348417,31054402.3620063,16.514282976902,0.376011073774794,shortbelly rockfish
2016,18014398.3778741,9738641.50534404,33322773.8939434,16.7066819059849,0.313816846014942,shortbelly rockfish
2017,14550475.9852185,9192245.4684539,23032060.2428417,16.4931342648074,0.234322398626097,shortbelly rockfish
