year,index,timeseries_original,timeseries,,
1987,2.311679,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1988,2.451064,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1989,2.063316,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1990,2.285899,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1991,2.378573,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1992,2.337687,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1993,2.392725,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1994,2.394475,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1995,2.281715,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1996,2.139508,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1997,2.234197,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1998,2.227454,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1999,2.065008,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2000,2.1464,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2001,2.204891,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2002,2.088764,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2003,2.018479,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2004,2.055698,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2005,2.043814,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2006,2.050226,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2007,2.030957,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2008,1.99386,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2009,2.024646,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2010,2.064315,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2011,2.016852,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2012,2.008774,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2013,1.956909,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2014,1.990833,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2015,1.998147,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2016,1.951396,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
